pname,CounterID,latitude,longitude,triggers
Devonport, DVPL1,50.376258,-4.171036,21823
Devonport, DVPL10,50.37483,-4.169624,15687
Devonport, DVPL2,50.376728,-4.171556,18054
Devonport, DVPL3,50.377605,-4.172284,21158
Devonport, DVPL4,50.376629,-4.173971,18072
Devonport, DVPL5,50.375632,-4.172901,21854
Devonport, DVPL6,50.375514,-4.176794,79667
Devonport, DVPL7,50.37638,-4.177255,21905
Devonport, DVPL8,50.373757,-4.172561,18090
Devonport, DVPL9,50.373896,-4.17112,20823
Hoe, HOEL1,50.365449,-4.143559,22913
Hoe, HOEL10,50.364995,-4.140196,15513
Hoe, HOEL11,50.363896,-4.141821,17238
Hoe, HOEL12,50.3643,-4.144031,15434
Hoe, HOEL13,50.364468,-4.144906,19562
Hoe, HOEL2,50.366328,-4.142765,26531
Hoe, HOEL3,50.366753,-4.141767,1625
Hoe, HOEL4,50.366842,-4.139997,19741
Hoe, HOEL5,50.366783,-4.139718,4577
Hoe, HOEL6,50.366585,-4.139471,15496
Hoe, HOEL7,50.366164,-4.139129,54
Hoe, HOEL8,50.365645,-4.139675,12255
Hoe, HOEL9,50.365183,-4.140201,7
